a_index,summary
421724,"juan cole: assad' ""sarin gas attack"" was ignorant, intolerant of facts and science. but he says trump is committed to release more deadly carbon dioxide - even when it goes into the oceans – turning them acidic if we allow it. he says science protesters forget that president hasn't been vilified by leftist dogmatism or science. colle: ob"
702629,"a poll released by the university of washington last week found 49 percent of americans believe climate change will cause humans to die. john mcginnon: the article is so disconnected from reality that debunking lose't its thrill within ten paragraphed, but it seems to undermine everything else he says..."
808517,"a draft of the study was leaked to media before it had been approved by the administration, the new york times reports. some top officials have said the white house is actively trying and hiding facts about global warming - but others say that they are concerned trump will suppress their findings or change them for political gain if they don't want to republish it – an issue many experts see as defining challenge in the wakeof climate change — while others say"
648162,"csm'd david middleton asked whether there is an ‘either/or’ view of renewable energy at the tipping point: what happens when the wind doesn't blow or the sun does not shine? iowa, where coal-firen power generation is plentiful, has a wind turbine that provides 36.6% of its electricity generation – larger than any other state in the world — and facebook also owns it! but with"
1382563,"donald trump says the east coast ""could use some of that good old global warming"" bitter cold temperatures are expected to freeze large areas this holiday weekend in floria and texashire. trumped is dining with commerce secretary at mar-elgido club on thursday night he plans to meet early in new year engstling republicans 'in the spring'"
666872,"u.s has increased its oil and gas output by 75 percent since 2007; exporting more than 150 million barrel of crude oil a year - and the industry is growing. coal production this season up 15 per cent; wind, solar are as viable as cold energy for years to come -- but without federal mandated subsidies, jobs would disappear if they were not created in time 'trump'"
248326,"john sutter: donald will withdraw from the paris climate agreement, but why not? two letters to president argue that it would bring more benefits than harm. they say science should be more concerned with human contributions and natural ones; we need to do more about it."
373033,"researchers are recruiting volunteers to assist in the first-ever comprehensive weddell seals census. last summer, some 10,000 people helped researchers count seal on seaice inland from antarctica've been surveying since 2008 a new survey was launched this year based off of u.nish scientists’ findings thursday."
1386676,"president donald trump says the cold could use ""a little bit of that good old global warming"" he adds that the u.n. is going to pay trillion dollars to protect against climate change thursday - and it'll be this coldest New Year on record! democratic rep, Don Beyer, hits out at teddy bear president despite his tweet remark."""
1041152,"the epa will repeal the clean power plan, the centerpiece of president barack's effort to fight climate change. it also ask for industry and public to offer ideas for re-designing regulations if they are needed – but this is not going anywhere."
549263,"john avlon: president's decision to withdraw from paris accord is an act of vanity. he says the deal would be aimed at slowing a warming planet since last ice age 11000 years ago, but it won't help us if we don’re committed to it! ufos and other nations have committed billions of dollars in climate funds for their own use; they say they will not get richer"
567896,"u.s, china and india are moving away from clean energy sources, says john avlon jr-mcconnell o'brien hertzman tdihor. the u of us is not the bad actor on global stage when it comes to environmental protection, if you will. avon: we have at least 200 years in coal, but that treasure chest is still worth more than $600"
616657,"app will document relationship between bees and flowers. data can be used to determine how populations have changed over time, gegear says of beavers' decline - but it needs more information."" the app is available for android users, and the website has been developed based on user input compiled by experts at worcester polytechnic institute & university of massachusetties ivy."
1377804,"adam luther: it’s not just climate change, but we are in danger of being hit by extreme weather. he says the northern part of the world was warmer during this period - between 3000 and 4000 years dc eon. lutheers: when you think about global warming, don't be surprised if there isn're no evidence!"
928992,"cnb and cable news anchors are arguing about climate change after hurricane hayes. ""is this storm a sign of things to come?"" asked alize camerotia, who says the storm could create one of our largest evacuation centers in us history."
933253,"katy tur's question: ""what about those who say, listen? we haven’t had big hurricane here in 10 years?"" champion says scientists don""t know enough to answer the contrarian question. he blamed global warming for stronger storm conditions - but that'll change soon if it gets better..."
262486,"environmentalists want epa inspector general to investigate whether pruitt violated internal policies. sierra club attorney: pruits comments contradict basic scientific findings of research on climate change, not contrary ones from studies - 'obviously false' former vice president al gore said comments were ""independent and unfounded"""
820780,"ny times article on climate change is written by mike anderson ives, freelance journalist from hong kong. it features the headlines: ""the island of northamo'i has been hit by hurricane katrina"""
796136,"al gore's nashville home generate 12,000kwh of electricity a year, more than the average american household consumes. gored has been criticized for his energy use habits and for his role in the global warming movement despite his original film ""an unconvincing truth"""
355020,"a new study shows that plants are to blame for warming, not man's. the theory is that man’d produce more co2 to feed people and poison them - but it doesnt work this way if we increase carbon dioxide levels in our cars or on highway roads... it'll be madness."
796093,"al gore: ""i’m a protestant, but... because of pope francis, [my] could become catholic"" gored at cnb' in melbourne as part-time pastor speaks on climate change. glendmar priest says the fight against global warming is one for humanity' moral cause and worth it to some he drives 22,000 miles each year despite his carbon footprint!"
627485,new paper by benjamin santer discusse the failure of climate models to predict or replicate the “slowdown” in early 21 century global temperatures. there is a budding consensus among more and less scientists that accepts this hiatus.
1373991,"a handful of employees recently damaged that reputation by inappropriately meddling in investigations of some troopers’ useof force, which was on the watch and then fired by gov. pete caldketts' col. bradley rice is now making progress in rebuilding patrol' foundation with his actions - and it will be important to the public if criminal charges arise based on their actions or not – he has no right for disclosure unless police officers are discipline"
889505,"cna's robert grabien and jason samenow talked about “climate change” on wednesday, debating whether humans are warming the planet or not. cuomou: ""there is... an unambiguous signal that there’re some human component to this warming."""
